custid,y_gt
284131,0
442302,1
987009,0
214990,0
113738,0
162017,1
467432,0
434157,0
929187,0
682622,0
838694,0
342279,0
471592,0
591297,0
785771,0
238279,0
99947,1
915290,0
586941,0
685528,0
193261,0
354247,0
895990,0
622947,0
325098,0
921773,0
814986,0
196454,0
120840,0
709158,0
253244,0
530309,0
858419,0
628205,0
514879,0
18536,0
103431,0
345667,0
319351,0
206014,0
718844,0
135226,0
215573,0
108698,0
719162,0
676181,0
606855,0
466444,0
96732,0
417984,0
218967,0
824486,0
826205,0
172109,0
817658,0
214150,0
126111,0
527777,0
465161,0
202665,0
461111,0
360821,0
468675,0
253635,0
811514,0
78572,0
439843,0
156479,0
284607,0
595063,0
28603,0
960469,0
709451,0
726348,0
90352,0
298175,0
187367,0
90527,0
587817,0
68368,0
615617,0
638909,0
410988,0
478620,0
386843,0
551117,0
177956,0
146041,0
339673,0
745540,0
831443,0
97503,0
445249,0
839697,0
415966,0
277008,0
475549,0
840152,0
705548,0
144665,0
